Date,HomeTeam,VisitorTeam,Time
"Thursday, August 17, 2017",Pittsburgh Pirates,St. Louis Cardinals,Start Time: 7:25 p.m. Local
"Thursday, August 17, 2017",New York Mets,New York Yankees,Start Time: 7:11 p.m. Local
"Friday, August 18, 2017",Atlanta Braves,Cincinnati Reds,Start Time: 7:37 p.m. Local
"Thursday, August 17, 2017",Minnesota Twins,Cleveland Indians,Start Time: 6:11 p.m. Local
"Wednesday, August 23, 2017",San Francisco Giants,Milwaukee Brewers,Start Time: 12:45 p.m. Local
"Wednesday, August 23, 2017",Pittsburgh Pirates,Los Angeles Dodgers,Start Time: 7:06 p.m. Local
"Wednesday, August 23, 2017",Philadelphia Phillies,Miami Marlins,Start Time: 7:07 p.m. Local
"Wednesday, August 23, 2017",New York Mets,Arizona Diamondbacks,Start Time: 7:11 p.m. Local
"Wednesday, August 23, 2017",Kansas City Royals,Colorado Rockies,Start Time: 7:15 p.m. Local
"Wednesday, August 23, 2017",Houston Astros,Washington Nationals,Start Time: 7:10 p.m. Local
"Wednesday, August 23, 2017",St. Louis Cardinals,San Diego Padres,Start Time: 7:15 p.m. Local
"Friday, August 25, 2017",Toronto Blue Jays,Minnesota Twins,Start Time: 7:08 p.m. Local
"Friday, August 25, 2017",St. Louis Cardinals,Tampa Bay Rays,Start Time: 7:15 p.m. Local
"Friday, August 25, 2017",Philadelphia Phillies,Chicago Cubs,Start Time: 7:09 p.m. Local
"Friday, August 25, 2017",Oakland Athletics,Texas Rangers,Start Time: 7:07 p.m. Local
"Friday, August 25, 2017",New York Yankees,Seattle Mariners,Start Time: 7:08 p.m. Local
"Wednesday, August 23, 2017",Detroit Tigers,New York Yankees,Start Time: 7:10 p.m. Local
"Friday, August 25, 2017",Los Angeles Dodgers,Milwaukee Brewers,Start Time: 7:11 p.m. Local
"Friday, August 25, 2017",Miami Marlins,San Diego Padres,Start Time: 7:12 p.m. Local
"Friday, August 25, 2017",Cleveland Indians,Kansas City Royals,Start Time: 7:10 p.m. Local
"Sunday, August 27, 2017",Los Angeles Dodgers,Milwaukee Brewers,Start Time: 1:10 p.m. Local
"Sunday, August 27, 2017",Cleveland Indians,Kansas City Royals,Start Time: 1:11 p.m. Local
"Sunday, August 27, 2017",Cincinnati Reds,Pittsburgh Pirates,Start Time: 1:10 p.m. Local
"Sunday, August 27, 2017",Chicago White Sox,Detroit Tigers,Start Time: 1:10 p.m. Local
"Sunday, August 27, 2017",Boston Red Sox,Baltimore Orioles,Start Time: 1:35 p.m. Local
"Sunday, August 27, 2017",Atlanta Braves,Colorado Rockies,Start Time: 1:36 p.m. Local
"Sunday, August 27, 2017",Arizona Diamondbacks,San Francisco Giants,Start Time: 1:10 p.m. Local
"Tuesday, August 29, 2017",Toronto Blue Jays,Boston Red Sox,Start Time: 7:07 p.m. Local
"Wednesday, August 30, 2017",Los Angeles Angels,Oakland Athletics,Start Time: 7:07 p.m. Local
"Tuesday, August 29, 2017",Milwaukee Brewers,St. Louis Cardinals,Start Time: 6:41 p.m. Local
"Tuesday, August 29, 2017",Minnesota Twins,Chicago White Sox,Start Time: 7:11 p.m. Local
"Tuesday, August 29, 2017",Kansas City Royals,Tampa Bay Rays,Start Time: 7:15 p.m. Local
"Tuesday, August 29, 2017",San Diego Padres,San Francisco Giants,Start Time: 7:10 p.m. Local
"Tuesday, August 29, 2017",Washington Nationals,Miami Marlins,Start Time: 7:31 p.m. Local
"Wednesday, August 30, 2017",Arizona Diamondbacks,Los Angeles Dodgers,Start Time: 6:40 p.m. Local
"Tuesday, August 29, 2017",Cincinnati Reds,New York Mets,Start Time: 7:10 p.m. Local
"Tuesday, August 29, 2017",Los Angeles Angels,Oakland Athletics,Start Time: 7:08 p.m. Local
"Tuesday, August 29, 2017",Houston Astros,Texas Rangers,Start Time: 7:10 p.m. Local
"Tuesday, August 29, 2017",Colorado Rockies,Detroit Tigers,Start Time: 6:40 p.m. Local
"Tuesday, August 29, 2017",Baltimore Orioles,Seattle Mariners,Start Time: 7:37 p.m. Local
"Tuesday, August 29, 2017",Chicago Cubs,Pittsburgh Pirates,Start Time: 7:06 p.m. Local
"Tuesday, August 29, 2017",Arizona Diamondbacks,Los Angeles Dodgers,Start Time: 6:40 p.m. Local
"Monday, August 28, 2017",Washington Nationals,Miami Marlins,Start Time: 7:05 p.m. Local
"Wednesday, September 13, 2017",Tampa Bay Rays,New York Yankees,Start Time: 1:11 p.m. Local
"Wednesday, September 13, 2017",Philadelphia Phillies,Miami Marlins,Start Time: 7:06 p.m. Local
"Wednesday, September 13, 2017",San Francisco Giants,Los Angeles Dodgers,Start Time: 7:15 p.m. Local
"Wednesday, September 13, 2017",St. Louis Cardinals,Cincinnati Reds,Start Time: 7:16 p.m. Local
"Wednesday, September 13, 2017",Washington Nationals,Atlanta Braves,Start Time: 7:06 p.m. Local
"Wednesday, September 13, 2017",Texas Rangers,Seattle Mariners,Start Time: 7:08 p.m. Local
"Wednesday, September 13, 2017",Toronto Blue Jays,Baltimore Orioles,Start Time: 7:08 p.m. Local
"Wednesday, September 13, 2017",Minnesota Twins,San Diego Padres,Start Time: 7:10 p.m. Local
"Saturday, September 16, 2017",Philadelphia Phillies,Oakland Athletics,Start Time: 7:07 p.m. Local
"Saturday, September 16, 2017",New York Yankees,Baltimore Orioles,Start Time: 4:10 p.m. Local
"Saturday, September 16, 2017",Milwaukee Brewers,Miami Marlins,Start Time: 7:10 p.m. Local
"Saturday, September 16, 2017",Minnesota Twins,Toronto Blue Jays,Start Time: 6:11 p.m. Local
"Saturday, September 16, 2017",Houston Astros,Seattle Mariners,Start Time: 12:06 p.m. Local
"Saturday, September 16, 2017",Detroit Tigers,Chicago White Sox,Start Time: 6:10 p.m. Local
"Saturday, September 16, 2017",Colorado Rockies,San Diego Padres,Start Time: 6:11 p.m. Local
"Saturday, September 16, 2017",Cleveland Indians,Kansas City Royals,Start Time: 4:10 p.m. Local
"Thursday, September 21, 2017",Seattle Mariners,Texas Rangers,Start Time: 7:10 p.m. Local
"Thursday, September 21, 2017",San Diego Padres,Colorado Rockies,Start Time: 7:10 p.m. Local
"Thursday, September 21, 2017",Philadelphia Phillies,Los Angeles Dodgers,Start Time: 1:07 p.m. Local
"Thursday, September 21, 2017",Milwaukee Brewers,Chicago Cubs,Start Time: 7:11 p.m. Local
"Saturday, September 23, 2017",San Diego Padres,Colorado Rockies,Start Time: 5:40 p.m. Local
"Saturday, September 23, 2017",Pittsburgh Pirates,St. Louis Cardinals,Start Time: 7:08 p.m. Local
"Saturday, September 23, 2017",Oakland Athletics,Texas Rangers,Start Time: 6:08 p.m. Local
"Saturday, September 23, 2017",New York Mets,Washington Nationals,Start Time: 7:10 p.m. Local
